Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[33]     0.0    0.00    0.00       1         alloc_and_load_rr_node_indices [33]
                0.00    0.00     307/377666      my_malloc [17]
                0.00    0.00       2/2           load_chan_rr_indices [38]
-----------------------------------------------
                0.00    0.00       1/1           SetupVPR [25]
[34]     0.0    0.00    0.00       1         XmlReadArch [34]
                0.00    0.00       1/1           ProcessTypes [35]
                0.00    0.00       4/377666      my_malloc [17]
                0.00    0.00      27/183         ezxml_attr [95]
                0.00    0.00      26/125         ezxml_set_attr [100]
                0.00    0.00      18/43          ezxml_child [106]
                0.00    0.00      18/222         ezxml_free [92]
                0.00    0.00      18/222         FreeNode [90]
                0.00    0.00       2/2           ProcessChanWidthDistrDir [118]
                0.00    0.00       2/3774        my_atoi [72]
                0.00    0.00       2/2           ProcessCB_SB [117]
                0.00    0.00       1/1           ezxml_parse_file [129]
                0.00    0.00       1/1359        my_strdup [75]
-----------------------------------------------
                0.00    0.00       1/1           XmlReadArch [34]
[35]     0.0    0.00    0.00       1         ProcessTypes [35]
                0.00    0.00     173/173         GetNodeTokens [36]
                0.00    0.00      91/377666      my_malloc [17]
                0.00    0.00     229/3774        my_atoi [72]
                0.00    0.00     203/222         ezxml_free [92]
                0.00    0.00     203/222         FreeNode [90]
                0.00    0.00     173/3302        FreeTokens [73]
                0.00    0.00     161/3287        CountTokens [74]
                0.00    0.00     140/183         ezxml_attr [95]
                0.00    0.00      84/125         ezxml_set_attr [100]
                0.00    0.00      25/43          ezxml_child [106]
                0.00    0.00       7/171         my_calloc [97]
                0.00    0.00       3/3           Process_Fc [114]
                0.00    0.00       2/1359        my_strdup [75]
                0.00    0.00       2/437         alloc_matrix [86]
                0.00    0.00       1/5           alloc_matrix3 [107]
-----------------------------------------------
                0.00    0.00     173/173         ProcessTypes [35]
[36]     0.0    0.00    0.00     173         GetNodeTokens [36]
                0.00    0.00     346/377666      my_malloc [17]
                0.00    0.00     173/180         ezxml_set_txt [96]
-----------------------------------------------
                0.00    0.00       1/1           build_rr_graph [7]
[37]     0.0    0.00    0.00       1         alloc_and_load_seg_details [37]
